Matvare ID,Matvare,Kategori,Kostholdsgrupper,Kilojoule (kJ),Kilokalorier (kcal),Vann (g),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Salt (NaCl) (g),Alkohol (g),Vitamin A (RAE) (RAE),Vitamin A (RE) (RE),Retinol (µg),Betakaroten (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Jern (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Magnesium (Mg) (mg),Sink (Zn) (mg),Selen (Se) (µg),Kobber (Cu) (mg),Fosfor (P) (mg),Jod (I) (µg),FoodEx2-klassifisering
1.344,"Appenzeller, ost",Meieriprodukter,Meieriprodukter,1586,383,44,31.7,19,0.9,3.4,8.8,2.3,0.6,7.4,0.7,8.6,1.5,0.4,0.2,0,0,0,0,0,0,0,0.4,1.3,95,0,0,0,0,0,0,24.3,1.6,0,366,381,350,190,0.5,1,0.04,0.36,0.1,5.8,0.07,15,1.1,0,740,0.3,620,82,29,4,0,0,540,8,A02SY#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6E$F28.A0C6F
1.063,"Baconost, smørbar",Meieriprodukter,Meieriprodukter,886,213,68,17,10.8,0.5,1.7,4.8,1.8,0.5,4.1,0.4,3.5,0.4,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,42,0.1,0,0.1,0,0,0,15,2.4,0,175,190,160,184,0.1,0,0.05,0.2,0.3,3.8,0.16,12,0.5,0,376,0.3,940,60,15,3,6,0.05,900,18,A031C
1.136,"Brie, hvitmuggost",Meieriprodukter,Meieriprodukter,1491,361,51,33.1,23.1,1.2,4.1,11.8,2.9,1,8,0.6,6.8,1,0.8,0.1,0,0,0,0,0,0,0,0.1,0.8,111,0.1,0,0.1,0,0,0,15.6,1.1,0,266,273,259,85,0,0.9,0,0.42,0.5,4.2,0.11,40,0.8,0,420,0.1,420,72,18,2.2,10,0.02,300,15,A02RV
1.186,"Brunost, uspesifisert",Meieriprodukter,Meieriprodukter,1707,410,31,27,17.2,0.8,2.5,7.7,3,0.8,6.5,0.6,5.6,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,0.2,71,30.3,0,30.3,0,0,0,11.3,0.8,0,280,287,272,91,0,0.8,0.16,1.18,0.2,2.8,0.04,28,1.3,0,518,0.2,323,1444,82,1.1,8,0.02,620,202,A02MR#F26.A07XD
1.345,"Burrata, ost",Meieriprodukter,Meieriprodukter,1187,287,60,25.7,15,0.8,2.6,6.3,2.7,0,7.9,0.7,6.6,0.8,0.4,0.4,0,0,0,0,0,0,0,0.4,0.4,70,1.8,0,1.8,0,0,0,12.1,0.3,0,216,229,203,159,0.2,0.6,0.03,0.21,0.3,3.1,0.06,12,1.1,0,127,0.2,134,127,9,1.7,2,0,234,3,A02QP#F02.A06BL$F27.A02LT$F28.A0C6E
1.025,"Camembert, hvitmuggost",Meieriprodukter,Meieriprodukter,1252,302,56,25,14.2,0.8,2.4,6.5,2.4,0.8,5.6,0.4,4.9,0.7,0.6,0.1,0,0,0,0,0,0,0,0.1,0.6,72,0.1,0,0.1,0,0,0,19.3,1.2,0,208,212,204,49,0,0.5,0.02,0.54,1.3,5.8,0.22,51,0.9,0,450,0.1,490,110,19,2.5,10,0.02,350,33,A02RX
1.027,"Cheddar, gulost",Meieriprodukter,Meieriprodukter,1614,389,43,32,20.3,1,3.2,9.1,3.3,1,7.7,0.7,6.5,0.7,0.5,0.1,0,0,0,0,0,0,0,0.1,0.1,79,0.3,0,0.3,0,0,0,25,2,0,376,387,364,141,0.3,0.6,0.03,0.28,0.1,5.9,0.15,31,2.4,0,660,0.2,800,70,24,3.4,6,0.04,445,30,A02YK
1.251,"Chevre, geitost, naturell",Meieriprodukter,Meieriprodukter,1308,316,56,28,18.1,0.9,2.3,8.2,3.5,0.8,6.6,0.5,6,0.7,0.5,0.1,0,0,0,0,0,0,0,0.1,0.5,83,1,0,1,0,0,0,15,1.1,0,210,210,210,1,0,0.7,0.03,0.53,0.8,4.3,0.06,82,0.8,0,64,0.2,440,121,12,0.5,9,0.04,240,80,A02QQ#F27.A02MB
1.028,Cottage cheese,Meieriprodukter,Meieriprodukter,406,97,81,4.3,2.7,0.1,0.4,1.2,0.5,0.1,1,0.1,0.9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,11,1.5,0,1.5,0,0,0,13,0.4,0,18,20,16,25,0,0,0.05,0.2,0.1,3.1,0,12,0.6,0,80,0,160,82,9,0.6,4,0.02,165,15,A02QG#F18.A07NL$F19.A07PR
1.062,"Crème Chérie, mykost",Meieriprodukter,Meieriprodukter,1385,335,55,31,19.6,0.9,3.1,8.8,3.2,0.9,7.5,0.7,6.3,0.7,0.4,0.1,0,0,0,0,0,0,0,0.1,0.1,76,0,0,0,0,0,0,14,2.3,0,155,170,140,182,0.2,0.7,0.02,0.16,0,3.3,0,14,0.5,0,390,0.3,900,104,16,2.3,0,0.08,960,6,A031B
